antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'支付方式_云闪付'}),frozenset({'类别_家居'}),0.14256406869403174,0.10276609575846017,0.014651297390917759,0.10276991618668019,1.0000371759595597,1.0,5.446557911990141e-07,1.000004258025103,4.335551637357226e-05,0.06351382585474095,4.258006972268989e-06,0.12266964241838217
frozenset({'类别_家居'}),frozenset({'支付方式_云闪付'}),0.10276609575846017,0.14256406869403174,0.014651297390917759,0.14256936865008416,1.0000371759595597,1.0,5.446557911990141e-07,1.000006181206804,4.1432426241683244e-05,0.06351382585474095,6.181168596871902e-06,0.12266964241838217
frozenset({'支付方式_云闪付'}),frozenset({'类别_服装'}),0.14256406869403174,0.19943618865509333,0.028445225042644816,0.19952590651500984,1.0004498574733178,1.0,1.2790543144219207e-05,1.0001120809038628,0.0005244184155941933,0.090718445286636,0.00011206834314155991,0.1710770543603851
frozenset({'类别_服装'}),frozenset({'支付方式_云闪付'}),0.19943618865509333,0.14256406869403174,0.028445225042644816,0.14262820220576033,1.0004498574733178,1.0,1.2790543144219207e-05,1.000074802450808,0.0005616731435981468,0.090718445286636,7.479685581978774e-05,0.1710770543603851
frozenset({'类别_玩具'}),frozenset({'支付方式_云闪付'}),0.0820910249238045,0.14256406869403174,0.01167083373915404,0.14216942412385167,0.9972318090119394,1.0,-3.239677724669633e-05,0.9995399504502659,-0.0030150112060116424,0.054796695989656016,-0.0004602612927347035,0.11201660270613072
frozenset({'支付方式_云闪付'}),frozenset({'类别_电子产品'}),0.14256406869403174,0.19818988568476217,0.028254140771426187,0.19818556688407007,0.9999782087734842,1.0,-6.157057985435588e-07,0.9999946137154513,-2.54143158303556e-05,0.09041330439615995,-5.386313561019937e-06,0.17037326446609394
frozenset({'类别_电子产品'}),frozenset({'支付方式_云闪付'}),0.19818988568476217,0.14256406869403174,0.028254140771426187,0.1425609620481178,0.9999782087734841,1.0,-6.157057985435588e-07,0.9999963768317323,-2.71773936908351e-05,0.09041330439615995,-3.6231813952611105e-06,0.17037326446609394
frozenset({'支付方式_云闪付'}),frozenset({'类别_食品'}),0.14256406869403174,0.19820981605793075,0.02822199031543889,0.19796005104209238,0.9987398958295518,1.0,-3.560751687534461e-05,0.999688587811414,-0.0014693111977131272,0.09029537436117033,-0.00031150919634658094,0.17017223707930335
frozenset({'类别_食品'}),frozenset({'支付方式_云闪付'}),0.19820981605793075,0.14256406869403174,0.02822199031543889,0.14238442311651434,0.9987398958295519,1.0,-3.560751687534461e-05,0.9997905290174763,-0.0015711239472365002,0.09029537436117033,-0.00020951486980931775,0.17017223707930335
frozenset({'支付方式_信用卡'}),frozenset({'类别_家居'}),0.1429296528383579,0.10276609575846017,0.014722581207360185,0.10300578581835819,1.0023323846072871,1.0,3.425881705002888e-05,1.0002672147223566,0.0027150131324997005,0.0637415218995354,0.0002671433377237739,0.12313440278946058
frozenset({'类别_家居'}),frozenset({'支付方式_信用卡'}),0.10276609575846017,0.1429296528383579,0.014722581207360185,0.14326301976056297,1.0023323846072871,1.0,3.425881705002888e-05,1.0003891123295645,0.002593478954617733,0.0637415218995354,0.00038896098005149096,0.12313440278946058
frozenset({'支付方式_信用卡'}),frozenset({'类别_服装'}),0.1429296528383579,0.19943618865509333,0.02850239757297517,0.1994155656783769,0.9998965936079329,1.0,-2.9476349025711612e-06,0.9999742400978182,-0.00012064891667037632,0.09081145996791157,-2.5760565771493366e-05,0.1711652193385077
frozenset({'类别_服装'}),frozenset({'支付方式_信用卡'}),0.19943618865509333,0.1429296528383579,0.02850239757297517,0.1429148729986385,0.999896593607933,1.0,-2.9476349025711612e-06,0.999982755692225,-0.00012916363051028814,0.09081145996791157,-1.7244605146291702e-05,0.1711652193385077
frozenset({'类别_玩具'}),frozenset({'支付方式_信用卡'}),0.0820910249238045,0.1429296528383579,0.011749900584534569,0.14313258477940344,1.001419802938128,1.0,1.6658891030205472e-05,1.0002368300362936,0.0015445866575883654,0.0550938142582393,0.0002367739611078435,0.11267008139079435
frozenset({'支付方式_信用卡'}),frozenset({'类别_电子产品'}),0.1429296528383579,0.19818988568476217,0.028293783301998762,0.1979560066097466,0.9988199242650174,1.0,-3.342825499813226e-05,0.9997083962015263,-0.0013766005913935665,0.09044582432798497,-0.0002916888560520429,0.17035849581649024
frozenset({'类别_电子产品'}),frozenset({'支付方式_信用卡'}),0.19818988568476217,0.1429296528383579,0.028293783301998762,0.14276098502323387,0.9988199242650174,1.0,-3.342825499813226e-05,0.999803242955375,-0.0014713354188894987,0.09044582432798497,-0.0001967957655781837,0.17035849581649024
frozenset({'支付方式_信用卡'}),frozenset({'类别_食品'}),0.1429296528383579,0.19820981605793075,0.028278726414240004,0.19785066186525338,0.9981880100601456,1.0,-5.133378407481612e-05,0.9995522601894647,-0.0021135284510352534,0.09038758327393084,-0.0004479403712721482,0.17026066380528065
frozenset({'类别_食品'}),frozenset({'支付方式_信用卡'}),0.19820981605793075,0.1429296528383579,0.028278726414240004,0.14267066574530793,0.9981880100601457,1.0,-5.133378407481612e-05,0.9996979141122296,-0.002258918450357211,0.09038758327393084,-0.0003021771712294792,0.17026066380528065
frozenset({'类别_家居'}),frozenset({'支付方式_储蓄卡'}),0.10276609575846017,0.14269245230221633,0.014675228386437715,0.14280223723717347,1.0007693815137793,1.0,1.128216913864194e-05,1.000128074220123,0.0008568445946087597,0.06358877412437117,0.0001280578192178034,0.12282369966497672
frozenset({'支付方式_储蓄卡'}),frozenset({'类别_家居'}),0.14269245230221633,0.10276609575846017,0.014675228386437715,0.10284516209277998,1.000769381513779,1.0,1.128216913864194e-05,1.0000881300874487,0.0008967493905933618,0.06358877412437117,8.812232122085027e-05,0.12282369966497672
frozenset({'类别_服装'}),frozenset({'支付方式_储蓄卡'}),0.19943618865509333,0.14269245230221633,0.02849352346521397,0.14287037702315358,1.0012469105272674,1.0,3.54846282112492e-05,1.0002075820461314,0.001555600765386801,0.09084927635991549,0.0002075389647683027,0.17127762238069955
frozenset({'支付方式_储蓄卡'}),frozenset({'类别_服装'}),0.14269245230221633,0.19943618865509333,0.02849352346521397,0.19968486773824548,1.0012469105272674,1.0,3.54846282112492e-05,1.0003107264540274,0.0014526381821942415,0.09084927635991549,0.00031062993308976234,0.17127762238069955
frozenset({'类别_玩具'}),frozenset({'支付方式_储蓄卡'}),0.0820910249238045,0.14269245230221633,0.01172386016995662,0.1428153708744471,1.0008614230833346,1.0,1.009051157659438e-05,1.00014339801258,0.0009376547083041338,0.05502619563458439,0.00014337745253829658,0.11248855545102779
